SCUG,9.523831,46.856125,575,0.64814509
SDI1,7.4009,46.081,2406,0.47
SDI2,7.4035,46.0805,2406,0.47
SDI3,7.4061,46.0801,2406,0.47
SDI4,7.4035,46.0805,2144,0.47
SDI5,7.4037,46.0817,2144,0.47
SDIF,7.4018,46.0841,2222,0.47
SEM1,6.9346,46.0677,1979,0.47
SEM2,6.9332,46.0678,1979,0.47
SEM3,6.9319,46.0675,1979,0.47
SEM4,6.9319,46.0675,1824,0.47
SEMF,6.9406,46.0507,1222,0.47
SEMOS,6.93499,46.06771,1950,-0.281573025
SENIN,7.2993,46.36335,2035,-0.38719002
SEPFL,6.565748,46.521239,396,1.911391567
SFEA,9.4718,46.8458,623,0.47
SFRA,7.70911,47.50358,0,1.256848594
SGAG,9.4493,47.2107,527,0.47
SGEV,6.13676,46.20062,372,0.86445964
SGRA,7.835612,46.193636,1591,0.53839826
SGT00,9.310302,47.423989,674,-0.090257849
SGT03,9.199445,47.365551,873,0.227738531
SGT04,9.349025,47.348435,987,0.09246472
SGT05,9.455951,47.441856,856,0.406055758
SGT16,9.2395,47.4528,624,0.583405819
SIEB,7.53507,46.29543,551,0.427849311
SIMPL,8.01958,46.23962,1930,-0.688559761
SINS,7.86414,46.68692,560,1.903431665
SIOM,7.361916,46.229012,495,1.192662262
SIOO,7.3832,46.2328,495,1.556246573
SIOV,7.36423,46.2351,560,0.018237354
SKAF,7.7199,47.5384,270,-0.135823953
SKEH,8.2715,46.9029,609,0.47
SLAE,7.241,46.8996,545,0.47
SLE,8.49236,47.7645,648,0.2734116
SLOP,8.79055,46.16384,200,0.746457204
SLTM,9.0003,46.9253,693,0.47
SLTM2,9.000898,46.92358,648,0.710218177
SLUB,8.30548,47.057919,510.8,0.212263937
SLUW,8.31786,47.04631,436,2.253607071
SM01,7.3452,45.9977,2014,0.47
SM02,7.3464,45.9975,2014,0.47
SM03,7.3483,45.9978,2014,0.47
SM04,7.3496,45.9986,2014,0.47
SM05,7.3502,45.9996,2014,0.47
SM06,7.3464,45.9975,1889,0.47
SM07,7.3483,45.9978,1889,0.47
SM08,7.3496,45.9986,1889,0.47
SM09,7.3452,45.9977,1779,0.47
SM10,7.3483,45.9978,1779,0.47
SM11,7.3502,45.9996,1779,0.47
SMA1,7.9599,46.0491,2256,0.47
SMA2,7.9641,46.0501,2256,0.47
SMA3,7.9599,46.0491,2147,0.47
SMAO,7.07477,46.09889,473,0.926162771
SMAR,6.9949,46.2079,662,0.47
SMTK,9.5896,47.3352,466,0.47
SMUK,6.9406,46.2863,388,2.247434888
SMUR,6.9205,46.2772,480,0.41567704
SMZA,7.6583,47.5417,302,0.47
SMZW,7.6473,47.5476,272,0.848039418
SNIB,7.802367,46.177142,1110,0.989361077
SOLB,7.517052,47.206835,430,2.188734767
SOLZ,7.538306,47.208825,444,1.325565496
SPG1,10.1909,46.6244,1846,0.47
SPG2,10.1922,46.6236,1846,0.47
SPG3,10.1937,46.6233,1846,0.47
SPG4,10.1951,46.6237,1846,0.47
SPG5,10.1963,46.6242,1846,0.47
SPG6,10.1937,46.6233,1726,0.47
