Lon,Lat,Elev,ampli47
5.975,45.85,0,0.86
5.975,45.875,0,0.86
5.975,45.9,0,1.03
5.975,45.925,0,0.86
5.975,45.95,0,0.86
5.975,45.975,0,1.03
5.975,46,0,0.86
5.975,46.025,0,0.86
5.975,46.05,0,0.86
5.975,46.075,0,0.86
5.975,46.1,0,0.86
5.975,46.125,0,0.86
5.975,46.15,0,0.88
5.975,46.175,0,1.05
5.975,46.2,0,1.05
5.975,46.225,0,0.86
5.975,46.25,0,1.11
5.975,46.275,0,0.96
5.975,46.3,0,0.96
5.975,46.325,0,0.96
5.975,46.35,0,0.86
5.975,46.375,0,0.96
5.975,46.4,0,1.11
5.975,46.425,0,0.96
5.975,46.45,0,0.96
5.975,46.475,0,1.11
5.975,46.5,0,0.96
5.975,46.525,0,1.11
5.975,46.55,0,0.96
5.975,46.575,0,1.11
5.975,46.6,0,1.11
5.975,46.625,0,0.86
5.975,46.65,0,0.96
5.975,46.675,0,0.96
5.975,46.7,0,0.96
5.975,46.725,0,0.96
5.975,46.75,0,1.11
5.975,46.775,0,0.47
5.975,46.8,0,0.47
5.975,46.825,0,0.47
5.975,46.85,0,0.47
5.975,46.875,0,0.96
5.975,46.9,0,0.96
5.975,46.925,0,0.47
5.975,46.95,0,0.96
5.975,46.975,0,0.47
5.975,47,0,0.47
5.975,47.025,0,0.47
5.975,47.05,0,0.47
5.975,47.075,0,0.47
5.975,47.1,0,0.47
5.975,47.125,0,0.47
5.975,47.15,0,0.96
5.975,47.175,0,0.47
5.975,47.2,0,0.88
5.975,47.225,0,0.47
5.975,47.25,0,0.47
5.975,47.275,0,0.47
5.975,47.3,0,0.47
5.975,47.325,0,0.96
5.975,47.35,0,0.96
5.975,47.375,0,0.96
5.975,47.4,0,0.96
5.975,47.425,0,0.94
5.975,47.45,0,0.94
5.975,47.475,0,0.94
5.975,47.5,0,1.19
5.975,47.525,0,0.47
5.975,47.55,0,0.47
5.975,47.575,0,0.47
5.975,47.6,0,0.96
5.975,47.625,0,0.88
5.975,47.65,0,0.88
5.975,47.675,0,0.94
5.975,47.7,0,0.94
5.975,47.725,0,0.94
5.975,47.75,0,0.47
5.975,47.775,0,0.47
5.975,47.8,0,0.47
6,45.8,0,0.86
6,45.825,0,0.86
6,45.85,0,1.03
6,45.875,0,0.86
6,45.9,0,1.03
6,45.925,0,0.86
6,45.95,0,0.86
6,45.975,0,0.86
6,46,0,0.86
6,46.025,0,1.05
6,46.05,0,0.86
6,46.075,0,0.86
6,46.1,0,0.86
6,46.125,0,0.86
6,46.15,0,0.86
6,46.175,0,1.05
6,46.2,0,0.94
6,46.225,0,0.94
6,46.25,0,0.86
6,46.275,0,1.11
6,46.3,0,0.96
6,46.325,0,0.96
6,46.35,0,0.96
6,46.375,0,0.96
6,46.4,0,0.96
6,46.425,0,0.96
6,46.45,0,0.96
6,46.475,0,0.94
6,46.5,0,0.96
6,46.525,0,1.11
6,46.55,0,0.96
6,46.575,0,0.96
6,46.6,0,1.11
6,46.625,0,0.86
6,46.65,0,0.94
6,46.675,0,0.96
6,46.7,0,0.96
6,46.725,0,0.96
6,46.75,0,0.88
6,46.775,0,1.11
6,46.8,0,0.96
6,46.825,0,0.47
6,46.85,0,0.96
6,46.875,0,0.47
6,46.9,0,0.47
6,46.925,0,0.96
6,46.95,0,0.96
6,46.975,0,1.22
6,47,0,0.47
6,47.025,0,0.47
6,47.05,0,0.47
6,47.075,0,0.47
6,47.1,0,0.96
6,47.125,0,0.47
6,47.15,0,0.47
6,47.175,0,0.47
6,47.2,0,0.96
6,47.225,0,0.47
6,47.25,0,0.47
